pr,ease,t_ms,seamI_deg,seamO_deg,inner_rMin,inner_rMax,outer_rMin,outer_rMax,00 - Inbox_arcFrac,00 - Inbox_alphaFrac,01 - Projects_arcFrac,01 - Projects_alphaFrac,02 - Areas_arcFrac,02 - Areas_alphaFrac,04 - Daily Notes_arcFrac,04 - Daily Notes_alphaFrac,05 - Meeting Notes_arcFrac,05 - Meeting Notes_alphaFrac,06 - Zettelkasten_arcFrac,06 - Zettelkasten_alphaFrac,07 - Weekly Reviews_arcFrac,07 - Weekly Reviews_alphaFrac,08 - Archive_arcFrac,08 - Archive_alphaFrac,09 - Maps of Content_arcFrac,09 - Maps of Content_alphaFrac,10 - Literature Notes_arcFrac,10 - Literature Notes_alphaFrac,11 - Clippings_arcFrac,11 - Clippings_alphaFrac,12 - Journal_arcFrac,12 - Journal_alphaFrac,13 - Someday Maybe_arcFrac,13 - Someday Maybe_alphaFrac,14 - Reading List_arcFrac,14 - Reading List_alphaFrac,15 - Courses_arcFrac,15 - Courses_alphaFrac,(vault root)_arcFrac,(vault root)_alphaFrac,03 - Resources_arc,03 - Resources_noteArc
0.9750,0.9982,6242.8,3.55,0.01,1105.9,1730,0,0,0.186,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.002,31.624,0.003,0.144,0.004,0.151,0.008,0.144,0.046,0.121,0.092,0.041,0.005,0.144,0.046,341.7,329.8
0.9780,0.9986,6259.5,3.52,0.01,1105.9,1730.3,0,0,0.174,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127,0.002,31.625,0.002,0.131,0.003,0.138,0.006,0.136,0.037,0.115,0.075,0.031,0.004,0.136,0.037,343.6,331.7
0.9800,0.9988,6276.1,3.5,0.01,1105.9,1730.5,0,0,0.161,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113,0.001,31.625,0.002,0.117,0.002,0.124,0.005,0.128,0.03,0.109,0.059,0.022,0.002,0.128,0.03,345.5,333.5
0.9830,0.9991,6292.9,3.47,0.01,1105.9,1730.8,0,0,0.148,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099,0.001,31.625,0.001,0.103,0.002,0.111,0.004,0.119,0.023,0.102,0.045,0.014,0.001,0.119,0.023,347.2,335.3
0.9850,0.9993,6309.6,3.45,0.01,1105.9,1731,0,0,0.135,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085,0.001,31.626,0.001,0.089,0.001,0.097,0.003,0.111,0.016,0.096,0.033,0.008,0.001,0.111,0.016,349,337
0.9880,0.9996,6326.3,3.43,0,1105.9,1731.2,0,0,0.122,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071,0,31.626,0.001,0.075,0.001,0.083,0.002,0.102,0.011,0.09,0.022,0,0,0.102,0.011,350.6,338.7
0.9910,0.9998,6342.9,3.41,0,1105.9,1731.4,0,0,0.109,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057,0,31.627,0,0.061,0.001,0.068,0.001,0.093,0.007,0.084,0.014,0,0,0.093,0.007,352,340.1
0.9930,0.9999,6359.6,3.4,0,1105.9,1731.5,0,0,0.096,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042,0,31.627,0,0.046,0,0.054,0.001,0.084,0.004,0.077,0.007,0,0,0.084,0.004,353.4,341.5
0.9960,1.0000,6376.6,3.36,0,1105.9,1731.7,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.003,0,0,0,0.001,357.1,345.2
0.9990,1.0000,6392.9,3.36,0,1105.9,1731.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357.1,345.2
